,jp,en
976,電子,"電子
でんし

electron
(esp. as a prefix) electronic
electronics
"
977,分野,"分野
ぶんや

field
sphere
realm
division
branch
"
978,食事,"食事
しょくじ

meal
to eat
"
979,物語,"物語
ものがたり

tale
story
legend
"
980,祖父,"祖父
そふ
じじ
じい
おおじ
おじ
そぶ

grandfather
old man
kyogen mask used for the role of an old man
"
981,場合,"場合
ばあい

case
situation
"
982,気に入る,"気に入る
きにいる

to be pleased with
to suit
"
983,患者,"患者
かんじゃ (

a) patient
"
984,貸す,"貸す
かす

to lend
to loan
to rent out
to hire out
"
985,学ぶ,"学ぶ
まなぶ

to study (in depth)
to learn
to take lessons in
"
986,ところで,"ところで
ところで

by the way
incidentally
even if
no matter (who, what, when, where, why, how)
"
987,無理,"無理
むり

unreasonable
unnatural
unjustifiable
impossible
forcible
forced
compulsory
excessive (work, etc.)
immoderate
to work too hard
to try too hard
irrational
"
988,教授,"教授
きょうじゅ

professor
teaching
instruction
"
989,人物,"人物
じんぶつ

person
character
figure
personage
man
woman
one's character
one's personality
able person
talented person
"
990,免許,"免許
めんきょ

license
permit
licence
certificate
"
991,税金,"税金
ぜいきん

tax
duty
"
992,権利,"権利
けんり

right
privilege
"
993,向こう,"向こう
むこう

opposite side
other side
opposite direction
over there
that way
far away
beyond
the other party
the other person
future (starting now)
"
994,悩み,"悩み
なやみ

trouble
troubles
worry
distress
sorrows
anguish
agony
problem
"
995,必ず,"必ず
かならず

always
without exception
necessarily
certainly
without fail
positively
invariably
"
996,日時,"日時
にちじ

date and time
"
997,国家,"国家
こっか

state
country
nation
"
998,足りる,"足りる
たりる

to be sufficient
to be enough
to be worth doing
to be worthy
to be sufficient
to answer
to do
"
999,よ,"よ
よ

indicates certainty, emphasis, contempt, request, etc.
used when calling out to someone
used to catch one's breath or get someone's attention
yo!
"
1000,男性,"男性
だんせい

man
male
masculine gender
"
1001,会議,"会議
かいぎ

meeting
conference
session
assembly
council
convention
congress
"
1002,覚える,"覚える
おぼえる

to memorize
to memorise
to commit to memory
to learn by heart
to bear in mind
to remember
to learn
to pick up
to acquire
to feel
to think
to regard
"
1003,犯罪,"犯罪
はんざい

crime
offence
offense
"
1004,留守,"留守
るす

absence
being away from home
house-sitting
house-sitter
being left unattended to (of one's studies, etc.)
neglecting
"
1005,歴史,"歴史
れきし

history
"
1006,卒業,"卒業
そつぎょう

graduation
completion (e.g. of a course)
outgrowing something
moving on
"
1007,前,"前
まえ

ago
before (some event)
previously
(minutes) to (the hour)
in front (of)
before (e.g. the house)
head (of a line)
front (e.g. of a bus)
fore part
in the presence of
helping
portion
privates
private parts
"
1008,短い,"短い
みじかい

short
"
1009,自然,"自然
しぜん

nature
natural
spontaneous
naturally
spontaneously
"
1010,指輪,"指輪
ゆびわ (

finger) ring
"
1011,現在,"現在
げんざい

now
current
present
present time
as of
"
1012,同時,"同時
どうじ

simultaneous
concurrent
same time
synchronous
together
"
1013,観光,"観光
かんこう

sightseeing
"
1014,紹介,"紹介
しょうかい

introduction
presentation
referral
listing
"
1015,比べる,"比べる
くらべる

to compare
to make a comparison
to compete
to vie
"
1016,大事,"大事
だいじ
おおごと

important
valuable
serious matter
safe (Tochigi dialect)
OK
"
1017,実際,"実際
じっさい

practicality
practical
reality
actuality
actual conditions
bhutakoti (limit of reality)
"
1018,収入,"収入
しゅうにゅう

income
receipts
revenue
"
1019,部分,"部分
ぶぶん

portion
section
part
"
1020,茶,"茶
ちゃ

tea
tea plant (Camellia sinensis)
tea preparation
making tea
brown
mockery
"
1021,田,"田
た

rice field
"
1022,記憶,"記憶
きおく

memory
recollection
remembrance
storage
"
1023,消す,"消す
けす

to erase
to delete
to cross out
to turn off power
to extinguish
to put out
to bump off
"
1024,祭り,"祭り
まつり

festival
feast
"
1025,時半,"時半
じはん

about an hour
short time
half past (the hour)
"
1026,夜,"夜
よる
よ

evening
night
"
1027,遊ぶ,"遊ぶ
あそぶ
あすぶ

to play
to enjoy oneself
to have a good time
to mess about (with alcohol, gambling, philandery, etc.)
to be idle
to do nothing
to be unused
to go to (for pleasure or for study)
to intentionally throw a ball to lower the batter's concentration
"
1028,夢,"夢
ゆめ

dream
"
1029,空手,"空手
からて

karate
empty handed
"
1030,目,"目
め

eye
eyeball
eyesight
sight
vision
look
stare
glance
an experience
viewpoint
stitch
texture
weave
ordinal number suffix
somewhat
-ish
"
1031,七月,"七月
しちがつ

July
"
1032,元,"元
もと

origin
source
base
basis
foundation
root
cause
ingredient
material
(somebody's) side
(somebody's) location
original cost (or capital, principal, etc.)
(plant) root
(tree) trunk
first section of a waka
former ~
originally a ~
counter for blades of grass, tree trunks, etc., and for falcons (in falconry)
handle (chopsticks, brush, etc.)
grip
"
1033,九月,"九月
くがつ

September
"
1034,開ける,"開ける
あける

to open (a door, etc.)
to unwrap (e.g. parcel, package)
to unlock
to open (for business, etc.)
to empty
to remove
to make space
to make room
to move out
to clear out
to be away from (e.g. one's house)
to leave (temporarily)
to dawn
to grow light
to end (of a period, season)
to begin (of the New Year)
to leave (one's schedule) open
to make time (for)
to make (a hole)
to open up (a hole)
"
1035,広がる,"広がる
ひろがる

to spread (out)
to extend
to stretch
to reach to
to get around
to fill (e.g. a space)
"
1036,恋,"恋
こい (

romantic) love
"
1037,花火,"花火
はなび

fireworks
"
1038,無料,"無料
むりょう

free
no charge
"
1039,科学,"科学
かがく

science
"
1040,逃げる,"逃げる
にげる

to escape
to run away
"
1041,選手,"選手
せんしゅ

player (in game)
team member
"
1042,全員,"全員
ぜんいん

all members (unanimity)
all hands
the whole crew
everyone
everybody
"
1043,四月,"四月
しがつ

April
"
1044,近く,"近く
ちかく

near
neighbourhood
neighborhood
vicinity
nearly (e.g. ""it took nearly one year"")
close to
shortly
soon
"
1045,行き,"行き
ゆき
いき

bound for ...
going (to)
"
1046,光,"光
ひかり

light
"
1047,休み中,"休み中
やすみちゅう

during vacation
during the holidays
during one's break
(temporarily) closed
on break
"
1048,火山,"火山
かざん

volcano
"
1049,有名人,"有名人
ゆうめいじん

celebrity
public figure
big name
"
1050,死亡,"死亡
しぼう

death
mortality
to die
to pass away
"
1051,店員,"店員
てんいん

shop assistant
employee
clerk
salesperson
"
1052,全国,"全国
ぜんこく

countrywide
nationwide
whole country
national
"
1053,死体,"死体
したい

dead body
corpse
cadaver
"
1054,手伝う,"手伝う
てつだう

to help
to assist
to aid
to contribute to
to be a factor in
"
1055,持ってくる,"持ってくる
もってくる

to bring
"
1056,文書,"文書
ぶんしょ
もんじょ

document
writing
letter
paperwork
note
records
archives
document addressed to someone in particular (jargon used in paleography)
"
1057,集まる,"集まる
あつまる

to gather
to collect
to assemble
"
1058,隣,"隣
となり

neighbor (neighbour)
next to (esp. living next door to)
"
1059,自分自身,"自分自身
じぶんじしん

oneself
myself
"
1060,嫌い,"嫌い
きらい

dislike
hate
suspicion
tendency
smack (of)
distinction
discrimination
"
1061,電池,"電池
でんち

battery
cell
"
1062,姉妹,"姉妹
しまい
きょうだい

sisters
"
1063,分ける,"分ける
わける

to divide (into)
to split (into)
to part
to separate
to divide up
to classify
to sort out
to divide out
to share
to distribute
to deal out
to dish out
to distinguish
to discriminate
to differentiate (between)
to break up (a fight)
to mediate
to call a draw
to tie
to push one's way through (a crowd)
to sell
"
1064,痛み,"痛み
いたみ

pain
ache
soreness
grief
distress
damage
injury
wear
bruise
break
"
1065,電話口,"電話口
でんわぐち

telephone receiver
telephone mouthpiece
making a telephone call
receiving a telephone call
"
1066,意外,"意外
いがい

unexpected
surprising
"
1067,嫌,"嫌
いや
や

disagreeable
detestable
unpleasant
reluctant
"
1068,俺,"俺
おれ
おらあ
おり

I
me
"
1069,多少,"多少
たしょう

more or less
somewhat
a little
a few
some
amount
quantity
"
1070,宇宙,"宇宙
うちゅう

universe
cosmos
space
"
1071,医学,"医学
いがく

medical science
medicine
"
1072,慣れる,"慣れる
なれる

to get used to
to grow accustomed to
to become familiar with
to become skilled in
to become experienced at
to become tame
to become domesticated
"
1073,下ろす,"下ろす
おろす

to take down (e.g. flag)
to launch (e.g. boat)
to drop
to lower (e.g. ladder)
to let (a person) off
to unload
to discharge
to drop off (a passenger from a vehicle)
to let (a person) off
to withdraw money from an account
to wear (clothing) for the first time
to fillet (e.g. a fish)
"
1074,訪問,"訪問
ほうもん

call
visit
"
1075,安心,"安心
あんしん

relief
peace of mind
"
1076,誕生,"誕生
たんじょう

birth
creation
formation
"
1077,味方,"味方
みかた

friend
ally
supporter
"
1078,過去,"過去
かこ

the past
bygone days
the previous
a past (i.e. a personal history one would prefer remained secret)
one's past
past (tense)
preterit
preterite
previous life
"
1079,中国,"中国
ちゅうごく

China
Chugoku region of western Honshu (incl. Okayama, Hiroshima, Shimane, Tottori and Yamaguchi prefectures)
central part of a country
main region
"
1080,鏡,"鏡
かがみ

mirror
looking-glass
barrel head
"
1081,好き,"好き
すき

liking
fondness
love
"
1082,生きる,"生きる
いきる

to live
to exist
to make a living
to subsist
to be in effect
to be in use
to function
to come to life
to be enlivened
to be safe (in baseball, go, etc.)
"
1083,感情,"感情
かんじょう

emotion
feeling
feelings
sentiment
"
1084,家庭内,"家庭内
かていない

domestic
in the family
"
1085,代わり,"代わり
かわり

substitute
replacement
substituting
replacing
stand-in
proxy
alternate
deputy
relief
successor
compensation
exchange
return
second helping
another cup
seconds
upcoming program
upcoming programme
"
1086,下車,"下車
げしゃ

alighting (from train, bus, etc.)
getting off
"
1087,笑顔,"笑顔
えがお

smiling face
smile
"
1088,自身,"自身
じしん

by oneself
personally
"
1089,記者,"記者
きしゃ

reporter
"
1090,帰り,"帰り
かえり

return
coming back
"
1091,優しい,"優しい
やさしい

tender
kind
gentle
graceful
affectionate
amiable
"
1092,殺す,"殺す
ころす

to kill
"
1093,心理,"心理
しんり

state of mind
mentality
psychology
"
1094,水分,"水分
すいぶん

water
liquid
fluid
moisture
humidity
sap
juice
"
1095,住む,"住む
すむ

to live (of humans)
to reside
to inhabit
to dwell
to abide
"
1096,文句,"文句
もんく

complaint
grumbling
objection
phrase
words
expression
"
1097,倒れる,"倒れる
たおれる

to fall
to collapse
to drop
to fall senseless
to be forced to bed (by illness, etc.)
to die
to go bankrupt
to be ruined
to have a bad debt
to be defeated (in a game)
to fall (of governments, dictators, etc.)
"
1098,農業,"農業
のうぎょう

agriculture
"
1099,文章,"文章
ぶんしょう

sentence
article
composition
(writing) style
"
1100,連絡,"連絡
れんらく

to contact
to get in touch
contacting
getting in touch
communication
call
message
connection
coordination
junction
intercalary
intercalaris
internuncial
"
1101,半,"半
はん

half
semi-
half-past
odd number
unit of land area (595.8 m^2)
"
1102,大半,"大半
たいはん

majority
more than half
most (of)
mostly
largely
mainly
predominately
nearly
"
1103,牛乳,"牛乳
ぎゅうにゅう (

cow's) milk
"
1104,女子,"女子
じょし
おなご
おみなご

woman
girl
"
1105,長女,"長女
ちょうじょ

eldest daughter
first-born daughter
"
1106,簡単,"簡単
かんたん

simple
easy
uncomplicated
brief
quick
light
"
1107,市民,"市民
しみん

citizen
citizenry
public
city inhabitant
townspeople
bourgeoisie
middle class
"
1108,技術,"技術
ぎじゅつ

technology
engineering
technique
skill
art
craft
"
1109,美しい,"美しい
うつくしい

beautiful
lovely
"
1110,失う,"失う
うしなう

to lose
to part with
"
1111,規則,"規則
きそく

rules
regulations
conventions
"
1112,期間,"期間
きかん

period
term
interval
"
1113,軽い,"軽い
かるい
かろい

light (i.e. not heavy)
feeling light (i.e. offering little resistance, moving easily)
light (i.e. of foot)
nimble
agile
non-serious
minor
unimportant
trivial
slight
small
gentle
soft
easy
simple
indiscriminate
"
1114,発行,"発行
はっこう

issue (publications)
publishing
raising an event (software)
"
1115,無事,"無事
ぶじ

safety
peace
quietness
"
1116,事故,"事故
じこ
ことゆえ

accident
incident
trouble
circumstances
reasons
"
1117,当時,"当時
とうじ

at that time
in those days
"
1118,仕方,"仕方
しかた

way
method
means
resource
course
"
1119,低い,"低い
ひくい

low (rank, degree, value, content, quality, etc.)
low (position)
close to the ground
short (height)
deep (voice)
in a low key
low (volume)
"
1120,信頼,"信頼
しんらい

reliance
trust
faith
confidence
"
1121,外出,"外出
がいしゅつ
そとで

outing
trip
going out
"
1122,失敗,"失敗
しっぱい

failure
mistake
blunder
"
1123,国語,"国語
こくご

national language
Japanese language (often as a school subject in Japan)
native Japanese words (as opposed to loanwords)
"
1124,週,"週
しゅう

week
"
1125,死ぬ,"死ぬ
しぬ

to die
to pass away
to lose spirit
to lose vigor
to look dead
to cease
to stop
"
1126,以来,"以来
いらい

since
henceforth
"
1127,人形,"人形
にんぎょう

doll
puppet
figure
"
1128,下り,"下り
くだり

down-train (going away from Tokyo)
down-slope
downward going
"
1129,出発,"出発
しゅっぱつ

departure
"
1130,内容,"内容
ないよう

subject
contents
matter
substance
detail
import
"
1131,確認,"確認
かくにん

confirmation
verification
validation
review
check
affirmation
identification
"
1132,誘う,"誘う
さそう
いざなう

to invite
to ask
to call (for)
to tempt
to lure
to induce
"
1133,通信,"通信
つうしん

correspondence
communication
transmission
news
signal
telecommunications
"
1134,眼鏡,"眼鏡
めがね
がんきょう

spectacles
glasses
judgement
discrimination
discernment
insight
"
1135,重要,"重要
じゅうよう

important
momentous
essential
principal
major
"
1136,朝,"朝
あさ
あした

morning
"
1137,りんご,"りんご
りんご

apple (fruit)
apple tree (Malus pumila)
"
1138,子,"子
こ

child
young (animal)
young woman
young geisha
offshoot
interest
new shares
player who is not a dealer (in cards, mahjong, etc.)
bird egg
-er (often of young women)
"
1139,今日中に,"今日中に
きょうじゅうに

by today
before the day is over
"
1140,ではありません,"ではありません
ではありません

is not
am not
are not
"
1141,海外旅行,"海外旅行
かいがいりょこう

vacation abroad
"
1142,実際に,"実際に
じっさいに

virtually
practically
in practice
actually
currently
presently
"
1143,越える,"越える
こえる

to cross over
to cross
to pass through
to pass over (out of)
to exceed
"
1144,事件,"事件
じけん

event
affair
incident
case
plot
trouble
scandal
"
1145,起こる,"起こる
おこる

to occur
to happen
"
1146,参加,"参加
さんか

participation
"
1147,暗い,"暗い
くらい

dark
gloomy
dark (in colour)
dull
depressed
dispirited
sorrowful
bitter (as in a dark past)
unclear
unfamiliar
unknown
"
1148,可能,"可能
かのう

potential
possible
practicable
feasible
"
1149,昼間,"昼間
ひるま
ちゅうかん

daytime
during the day
time from sunrise until sunset
diurnal period
"
1150,決まる,"決まる
きまる

to be decided
to be settled
to look good in (clothes)
"
1151,商品,"商品
しょうひん

commodity
article of commerce
goods
stock
merchandise
"
1152,方向,"方向
ほうこう

direction
orientation
bearing
way
course (e.g. of action)
"
1153,料金,"料金
りょうきん

fee
charge
fare
"
1154,妹,"妹
いもうと

younger sister
"
1155,ものの,"ものの
ものの

but
although
"
1156,父母,"父母
ふぼ
ちちはは
ててはは
かぞいろは
ぶも
かぞいろ

father and mother
parents
"
1157,部下,"部下
ぶか

subordinate person
"
1158,人気,"人気
にんき

popularity
popular feeling
business conditions
"
1159,時期,"時期
じき

time
season
period
phase
stage
soon
shortly
"
1160,位置,"位置
いち

place
situation
position
location
"
1161,泥棒,"泥棒
どろぼう

thief
burglar
robber
theft
"
1162,後輩,"後輩
こうはい

junior (at work, school, etc.)
younger people
younger student
"
1163,村,"村
むら

village
"
1164,機会,"機会
きかい

chance
opportunity
"
1165,選挙,"選挙
せんきょ

election
"
1166,青年,"青年
せいねん

youth
young man
"
1167,議会,"議会
ぎかい

congress
parliament
diet
legislative assembly
"
1168,結構,"結構
けっこう

splendid
nice
wonderful
delicious
sweet
sufficient
fine (in the sense of ""I'm fine"")
(by implication) no thank you
well enough
OK
tolerable
quite
reasonably
fairly
tolerably
construction
architecture
"
1169,おもしろい,"おもしろい
おもしろい

interesting
fascinating
intriguing
enthralling
amusing
funny
comical
pleasant
enjoyable
agreeable
fun
"
1170,面白い,"面白い
おもしろい

interesting
fascinating
intriguing
enthralling
amusing
funny
comical
pleasant
enjoyable
agreeable
fun
"
1171,他人,"他人
たにん
ひと
あだびと

another person
other people
others
unrelated person (i.e. not related by blood)
outsider
stranger
"
1172,風景,"風景
ふうけい

scenery
scene
landscape
view
sight
scene (e.g. of a crime)
"
1173,終わり,"終わり
おわり

the end
"
1174,型,"型
かた
がた

model
type (e.g. of machine, goods, etc.)
type
style
pattern
mold (mould)
template
model
kata (standard form of a movement, posture, etc. in martial arts, sport, etc.)
form (i.e. customary procedure)
size (i.e. clothing, shoes)
(taxonomical) form
"
1175,爆発,"爆発
ばくはつ

explosion
detonation
eruption
"
1176,物理,"物理
ぶつり

physics
law of nature
"
1177,熱,"熱
ねつ

heat
fever
temperature
zeal
passion
enthusiasm
mania
craze
rage
"
1178,残る,"残る
のこる

to remain
to be left
"
1179,教科書,"教科書
きょうかしょ

textbook
text book
"
1180,祖母,"祖母
そぼ
ばば
おおば
おば
うば

grandmother
"
1181,一月,"一月
いちがつ

January
"
1182,森,"森
もり

forest
shrine grove
"
1183,不明,"不明
ふめい

unknown
obscure
indistinct
uncertain
ambiguous
anonymous
unidentified
ignorant
lack of wisdom
"
1184,現実,"現実
げんじつ

reality
actuality
hard fact
"
1185,年中,"年中
ねんじゅう
ねんちゅう
ねんぢゅう

whole year
all year round
throughout the year
always
all the time
middle class (of a nursery school, etc.)
"
1186,後ろ手,"後ろ手
うしろで

hands behind one's back
hands tied behind one's back
behind (e.g. someone)
rear
back
appearance from behind
"
1187,秋,"秋
あき

autumn
fall
"
1188,味,"味
あじ

flavor
flavour
taste
charm
style
experience
smart
clever
witty
strange
"
1189,育つ,"育つ
そだつ

to be raised (e.g. child)
to be brought up
to grow (up)
"
1190,女の人,"女の人
おんなのひと

woman
"
1191,文学的,"文学的
ぶんがくてき

literary
"
1192,流す,"流す
ながす

to drain
to pour
to spill
to shed (blood, tears)
to wash away
to distribute (e.g. electricity over wires, music over a PA system, etc.)
to circulate
to broadcast
to beam
to cruise (e.g. taxi)
to float
to set adrift
to call off (a meeting, etc.)
"
1193,業者,"業者
ぎょうしゃ

trader
merchant
vendor
supplier
manufacturer
contractor
"
1194,浴びる,"浴びる
あびる

to dash over oneself (e.g. water)
to take (e.g. shower)
to bask in (e.g. the sun)
to bathe in
to be flooded with (e.g. light)
to be covered in
to suffer (e.g. an attack)
to draw (e.g. criticism, attention, praise)
to have heaped upon
to be showered with
"
1195,姿,"姿
すがた

figure
form
shape
appearance
dress
guise
state
condition
picture
image
form (of a waka)
dressed in ...
wearing ...
"
1196,案内,"案内
あんない

information
guidance
leading
to guide
to show (around)
to conduct
"
1197,生命,"生命
せいめい

life
existence
"
1198,しゃべる,"しゃべる
しゃべる

to talk
to chat
to chatter
"
1199,回復,"回復
かいふく

restoration
rehabilitation
recovery
return
replevin
improvement
recovery (from an illness)
recuperation
convalescence
"
1200,放送,"放送
ほうそう

broadcast
broadcasting
"
1201,速度,"速度
そくど

speed
velocity
rate
"
1202,久しぶり,"久しぶり
ひさしぶり

a long time (since the last time)
it's been a while (since I last saw, mailed, etc., you)
"
1203,本気,"本気
ほんき

seriousness
earnestness
truth
sanctity
"
1204,興味,"興味
きょうみ

interest (in something)
curiosity (about something)
zest (for)
"
1205,理解,"理解
りかい

understanding
comprehension
appreciation
sympathy
"
1206,舟,"舟
ふね

ship
boat
watercraft
vessel
steamship
tank
tub
vat
trough
counter for boat-shaped containers (e.g. of sashimi)
"
1207,素晴らしい,"素晴らしい
すばらしい
すんばらしい

wonderful
splendid
magnificent
"
1208,熱い,"熱い
あつい

hot (thing)
passionate (feelings, etc.)
ardent
hot (e.g. gaze)
hot (e.g. temper)
zealous
enthusiastic
fired up
intense
severe
extreme
hot (topic)
of interest
"
1209,愛情,"愛情
あいじょう

love
affection
"
1210,書く,"書く
かく

to write
to compose
to pen
to draw
to paint
"
1211,終える,"終える
おえる

to finish
to graduate
"
1212,年月,"年月
としつき
ねんげつ

months and years
"
1213,宗教,"宗教
しゅうきょう

religion
religious affiliation
belief
faith
creed
religious activity
"
1214,大いに,"大いに
おおいに

very
much
greatly
a lot of
"
1215,機能,"機能
きのう

function
facility
faculty
feature
"
1216,集中,"集中
しゅうちゅう

concentration
convergence
centralization
integration
gathering together
"
1217,後者,"後者
こうしゃ

the latter
"
1218,主張,"主張
しゅちょう

claim
request
insistence
assertion
advocacy
emphasis
contention
opinion
tenet
"
1219,守る,"守る
まもる

to protect
to guard
to defend
to keep (i.e. a promise)
to abide (by the rules)
to observe
to obey
to follow
"
1220,非常,"非常
ひじょう

emergency
extraordinary
unusual
"
1221,得意,"得意
とくい

triumph
prosperity
pride
one's strong point
one's forte
one's specialty
frequent customer (client, etc.)
"
1222,就職,"就職
しゅうしょく

finding employment
getting a job
"
1223,支配,"支配
しはい

domination
rule
control
direction
guidance
"
1224,似合う,"似合う
にあう

to suit
to match
to become
to be like
"
1225,鉄道,"鉄道
てつどう

railroad
railway
rail transport
"
1226,寺,"寺
てら

temple (Buddhist)
"
1227,活用,"活用
かつよう

practical use
application
conjugation
declension
inflection
"
1228,注,"注
ちゅう

annotation
explanatory note
comment
"
1229,向かう,"向かう
むかう

to face
to go towards
to head towards
"
1230,温泉,"温泉
おんせん

spa
hot spring
onsen
"
1231,年度,"年度
ねんど

fiscal year (usu. April 1 to March 31 in Japan)
financial year
academic year
school year
product year
"
1232,武器,"武器
ぶき

weapon
arms
ordnance
weapon (something used to gain an advantage)
asset
"
1233,苦手,"苦手
にがて

poor (at)
weak (in)
not very good (at)
dislike (of)
difficult to deal with
"
1234,確実,"確実
かくじつ

certainty
reliability
soundness
"
1235,もちろん,"もちろん
もちろん

of course
certainly
naturally
"
1236,人類,"人類
じんるい

mankind
humanity
"
1237,日常,"日常
にちじょう

ordinary
regular
everyday
usual
"
1238,未来,"未来
みらい

the future (usually distant)
future tense
the world to come
"
1239,血,"血
ち

blood
consanguinity
"
1240,傷,"傷
きず

wound
injury
cut
gash
bruise
scratch
scrape
scar
chip
crack
scratch
nick
flaw
defect
weakness
weak point
stain (on one's reputation)
disgrace
dishonor
dishonour
(emotional) hurt
hurt feelings
"
1241,喜ぶ,"喜ぶ
よろこぶ

to be delighted
to be glad
to be pleased
to congratulate
to gratefully accept
"
1242,約束通り,"約束通り
やくそくどおり

as one promised
"
1243,二十日,"二十日
はつか

twentieth day of the month
twenty days
"
1244,深い,"深い
ふかい

deep
profound
dense
thick
close (relationship)
intense
strong
late
"
1245,ではない,"ではない
ではない

is not
am not
are not
"
1246,下,"下
した

below
down
under
younger (e.g. daughter)
bottom
beneath
underneath
just after
right after
inferiority
one's inferior (i.e. one's junior)
trade-in
preliminary
preparatory
"
1247,島,"島
しま

island
territory (of a prostitute, organized crime gang, etc.)
turf
"
1248,突然,"突然
とつぜん

abrupt
sudden
unexpected
all at once
"
1249,太い,"太い
ふとい

fat
thick
deep (of a voice)
daring
shameless
brazen
lucky (billiards)
"
1250,太陽,"太陽
たいよう

sun
solar
"
1251,ほど,"ほど
ほど

degree
extent
bounds
limit
indicates approx. amount or maximum
upper limit
"
1252,屋根,"屋根
やね

roof
"
1253,寝る,"寝る
ねる

to lie down
to go to bed
to lie in bed
to sleep (lying down)
to sleep (with someone, i.e. have intercourse)
to lie idle
"
1254,東京,"東京
とうきょう

Tokyo
"
1255,歳,"歳
さい -

years-old
ability
gift
talent
aptitude
genius
"
1256,胸,"胸
むね
むな

chest
breast
breasts
bosom
bust
heart
lungs
stomach
heart
mind
feelings
"
1257,訪ねる,"訪ねる
たずねる

to visit
to call on
to pay a visit to
"
1258,指定,"指定
してい

designation
specification
assignment
appointment
pointing at
"
1259,側,"側
がわ
かわ

side (of something, or taking someone's side)
part
(watch) case
"
1260,感覚,"感覚
かんかく

sense
sensation
feeling
intuition
"
1261,調査,"調査
ちょうさ

investigation
examination
inquiry
enquiry
survey
"
1262,増加,"増加
ぞうか

increase
increment
addition
"
1263,落ち込む,"落ち込む
おちこむ

to feel down (sad)
to be in a slump (e.g. business, economy)
to be in an unfavourable condition
to fall into (e.g. a hole)
"
1264,込む,"込む
こむ

to be crowded
to be packed
to be complex
to go into
to put into
to remain (seated)
to be plunged into (silence)
to do thoroughly
to do intently
to continue in the same state
"
1265,下げる,"下げる
さげる

to hang
to suspend
to wear (e.g. decoration)
to lower
to reduce
to bring down
to demote
to move back
to pull back
to clear (plates)
to remove (food, etc. from table or altar)
"
1266,怖い,"怖い
こわい

scary
frightening
eerie
dreadful
(I'm) afraid
"
1267,開く,"開く
あく

to open (e.g. doors)
to open (e.g. business, etc.)
to be empty
to be vacant
to be available
to be free
to be open (e.g. neckline, etc.)
to have been opened (of one's eyes, mouth, etc.)
to come to an end
to open (one's eyes, mouth, etc.)
to have a hole
to form a gap
to have an interval (between events)
"
1268,忙しい,"忙しい
いそがしい
せわしい

busy
hectic
occupied
engaged
"
1269,降りる,"降りる
おりる

to descend (e.g. a mountain)
to go down
to come down
to alight (e.g. from bus)
to get off
to disembark
to dismount
to step down
to retire
to give up
to quit
to be granted
to be issued
to be given
to form (of frost, dew, mist, etc.)
to be passed (from the body
e.g. of a roundworm)
"
1270,恐い,"恐い
こわい

scary
frightening
eerie
dreadful
(I'm) afraid
"
1271,おそらく,"おそらく
おそらく

perhaps
likely
probably
I dare say
"
1272,期待,"期待
きたい

expectation
anticipation
hope
"
1273,触る,"触る
さわる

to touch
to feel
"
1274,不安,"不安
ふあん

anxiety
uneasiness
insecurity
suspense
"
1275,去年,"去年
きょねん
こぞ

last year
"
1276,起きる,"起きる
おきる

to get up
to rise
to blaze up (fire)
to wake up
to be awake
to stay awake
to occur (usu. of unfavourable incidents)
to happen
to take place
"
1277,利益,"利益
りえき
りやく

profit
gains
benefit
advantage
interest (of the public, etc.)
grace (of God, Buddha, etc.) (esp. as attained through rightful actions, prayer, adherence to one's faith, etc.)
blessing
miracle
"
1278,将来,"将来
しょうらい

future (usually near)
prospects
"
1279,残す,"残す
のこす

to leave (behind, over)
to bequeath
to save
to reserve
"
1280,末,"末
すえ

tip
top
end
close (e.g. close of the month)
youngest child
descendants
offspring
posterity
future
finally
trivialities
"
1281,程度,"程度
ていど

degree
amount
grade
standard
of the order of (following a number)
about
approximately
"
1282,発音,"発音
はつおん

pronunciation
"
1283,机,"机
つくえ
つき

desk
"
1284,楽しみ,"楽しみ
たのしみ

enjoyment
pleasure
diversion
amusement
hobby
anticipation
looking forward to
"
1285,マンション,"マンション
マンション

condominium (often mid-rise or high-rise concrete)
apartment building
apartment house
apartment
flat
"
1286,住所,"住所
じゅうしょ

address (e.g. of house)
residence
domicile
"
1287,見学,"見学
けんがく

inspection
study by observation
field trip
"
1288,座る,"座る
すわる

to sit
to squat
to assume (a position)
to hold steady
to hold still
"
1289,今回,"今回
こんかい

now
this time
lately
"
1290,便利,"便利
べんり

convenient
handy
useful
"
1291,箱,"箱
はこ

box
case
chest
package
pack
car (of a train, etc.)
shamisen case
shamisen
public building
community building
man who carries a geisha's shamisen
receptacle for human waste
feces (faeces)
counter for boxes (or boxed objects)
"
1292,攻撃,"攻撃
こうげき

attack
strike
offensive
criticism
censure
denunciation
condemnation
"
1293,通う,"通う
かよう

to go to and from (a place)
to go back and forth between
to run between (e.g. bus, train, etc.)
to ply between
to go to (school, work, etc.)
to attend
to commute
to frequent
to circulate (e.g. blood, electricity)
to be communicated (e.g. thought)
to resemble
"
1294,名,"名
な

name
given name
title
fame
renown
reputation
pretext
pretense
justification
appearance
"
1295,食品,"食品
しょくひん

food
food products
foodstuffs
"
1296,出かける,"出かける
でかける

to go out (e.g. on an excursion or outing)
to leave
to depart
to start
to set out
to be about to leave
to be just going out
"
1297,委員,"委員
いいん

committee member
"
1298,地球,"地球
ちきゅう

the earth
the globe
"
